Niger,Africa,Western Africa,23310715,1266700,15
Mali,Africa,Western Africa,19658031,1220190,16
DR Congo,Africa,Central Africa,86790567,2267050,17
Angola,Africa,Central Africa,31825295,1246700,17
Chad,Africa,Central Africa,15946876,1259200,17
Uganda,Africa,Eastern Africa,44269594,199810,17
Somalia,Africa,Eastern Africa,15442905,627340,17
Burundi,Africa,Eastern Africa,11530580,25680,17
Central African Republic,Africa,Central Africa,4745185,622980,18
Tanzania,Africa,Eastern Africa,58005463,885800,18
Mozambique,Africa,Eastern Africa,30366036,786380,18
Malawi,Africa,Eastern Africa,18628747,94280,18
Zambia,Africa,Eastern Africa,17861030,743390,18
Afghanistan,Asia,Southern & Central Asia,38041754,652860,18
Nigeria,Africa,Western Africa,200963599,910770,18
Burkina Faso,Africa,Western Africa,20321378,273600,18
Guinea,Africa,Western Africa,12771246,245720,18
Gambia,Africa,Western Africa,2347706,10120,18
Cameroon,Africa,Central Africa,25876380,472710,19
Congo,Africa,Central Africa,5380508,341500,19
Sao Tome & Principe,Africa,Central Africa,215056,960,19
Ethiopia,Africa,Eastern Africa,112078730,1000000,19
Zimbabwe,Africa,Eastern Africa,14645468,386850,19
Eritrea,Africa,Eastern Africa,3497117,101000,19
South Sudan,Africa,Northern Africa,11062113,610952,19
Cote d'Ivoire,Africa,Western Africa,25716544,318000,19
Senegal,Africa,Western Africa,16296364,192530,19
Benin,Africa,Western Africa,11801151,112760,19
Togo,Africa,Western Africa,8082366,54390,19
Sierra Leone,Africa,Western Africa,7813215,72180,19
Liberia,Africa,Western Africa,4937374,96320,19
Guinea-Bissau,Africa,Western Africa,1920922,28120,19
Kenya,Africa,Eastern Africa,52573973,569140,20
Madagascar,Africa,Eastern Africa,26969307,581795,20
Rwanda,Africa,Eastern Africa,12626950,24670,20
Comoros,Africa,Eastern Africa,850886,1861,20
Mayotte,Africa,Eastern Africa,266150,375,20
Solomon Islands,Oceania,Melanesia,669823,27990,20
Yemen,Asia,Middle East,29161922,527970,20
Sudan,Africa,Northern Africa,42813238,1765048,20
Mauritania,Africa,Western Africa,4525696,1030700,20
Vanuatu,Oceania,Melanesia,299882,12190,21
Iraq,Asia,Middle East,39309783,434320,21
State of Palestine,Asia,Middle East,4981420,6020,21
Timor-Leste,Asia,Southeast Asia,1293119,14870,21
Eswatini,Africa,Southern Africa,1148130,17200,21
Equatorial Guinea,Africa,Central Africa,1355986,28050,22
Papua New Guinea,Oceania,Melanesia,8776109,452860,22
Samoa,Oceania,Polynesia,197097,2830,22
Tonga,Oceania,Polynesia,104494,720,22
Namibia,Africa,Southern Africa,2494530,823290,22
Tajikistan,Asia,Southern & Central Asia,9321018,139960,22
Ghana,Africa,Western Africa,30417856,227540,22
Gabon,Africa,Central Africa,2172579,257670,23
Guatemala,North America,Central America,17581472,107160,23
Kiribati,Oceania,Micronesia,117606,810,23
Pakistan,Asia,Southern & Central Asia,216565318,770880,23
Haiti,North America,Caribbean,11263077,27560,24
Honduras,North America,Central America,9746117,111890,24
Micronesia,Oceania,Micronesia,113815,700,24
Jordan,Asia,Middle East,10101694,88780,24
Laos,Asia,Southeast Asia,7169455,230800,24
Botswana,Africa,Southern Africa,2303697,566730,24
Lesotho,Africa,Southern Africa,2125268,30360,24
Belize,North America,Central America,390353,22810,25
Egypt,Africa,Northern Africa,100388073,995450,25
French Guiana,South America,South America,290832,82200,25
Nepal,Asia,Southern & Central Asia,28608710,143350,25
Nicaragua,North America,Central America,6545502,120340,26
Syria,Asia,Middle East,17070135,183630,26
Bolivia,South America,South America,11513100,1083300,26
Paraguay,South America,South America,7044636,397300,26
Philippines,Asia,Southeast Asia,108116615,298170,26
Cambodia,Asia,Southeast Asia,16486542,176520,26
