STATE,POP,CODE,ELEC VOTES,US REPR,US SENATE
TOTAL,325736777,,538,435,100
Alabama,4874747,AL,9,7,2
Alaska,739795,AK,3,1,2
Arizona,7016270,AZ,11,9,2
Arkansas,3004279,AR,6,4,2
California,39536653,CA,55,53,2
Colorado,5607154,CO,9,7,2
Connecticut,3588184,CT,7,5,2
Delaware,961939,DE,3,1,2
Florida,20984400,FL,29,27,2
Georgia,10429379,GA,16,14,2
Hawaii,1427538,HI,4,2,2
Idaho,1716943,ID,4,2,2
Illinois,12802023,IL,20,18,2
Indiana,6666818,IN,11,9,2
Iowa,3145711,IA,6,4,2
Kansas,2913123,KS,6,4,2
Kentucky,4454189,KY,8,6,2
Louisiana,4684333,LA,8,6,2
Maine,1335907,ME,4,2,2
Maryland,6052177,MD,10,8,2
Massachusetts,6859819,MA,11,9,2
Michigan,9962311,MI,16,14,2
Minnesota,5576606,MN,10,8,2
Mississippi,2984100,MS,6,4,2
Missouri,6113532,MO,10,8,2
Montana,1050493,MT,3,1,2
Nebraska,1920076,NE,5,3,2
Nevada,2998039,NV,6,4,2
New Hampshire,1342795,NH,4,2,2
New Jersey,9005644,NJ,14,12,2
New Mexico,2088070,NM,5,3,2
New York,19849399,NY,29,27,2
North Carolina,10273419,NC,15,13,2
North Dakota,755393,ND,3,1,2
Ohio,11658609,OH,18,16,2
Oklahoma,3930864,OK,7,5,2
Oregon,4142776,OR,7,5,2
Pennsylvania,12805537,PA,20,18,2
Rhode Island,1059639,RI,4,2,2
South Carolina,5024369,SC,9,7,2
South Dakota,869666,SD,3,1,2
Tennessee,6715984,TN,11,9,2
Texas,28304596,TX,38,36,2
Utah,3101833,UT,6,4,2
Vermont,623657,VT,3,1,2
Virginia,8470020,VA,13,11,2
Washington,7405743,WA,12,10,2
West Virginia,1815857,WV,5,3,2
Wisconsin,5795483,WI,10,8,2
Wyoming,579315,WY,3,1,2
District of Columbia,711571,DC,3,0,0
