COUNTRIES of the WORLD - by population 2019 - from www.worldometers.info - (continent & region added),,,,,,,,,,,,
LifeExpectancy from 2015 (CIA World FactBook) -  www.infoplease.com/world/health-and-social-statistics (with some modifications),,,,,,,,,,,,
rank,country,continent,region,population,life expectancy,net change,density,land area,migrants,fert. rate,med. age,urban pop
,,,,(est. in 2019),,,(pop/sq km),(sq km),(net),,,
1,China,Asia,Eastern Asia,1433783686,75.4,6135900,153,9388211,-348399,1.7,38,0.6
2,India,Asia,Southern and Central Asia,1366417754,68.1,13775474,460,2973190,-532687,2.2,28,0.35
3,United States,North America,North America,329064917,79.7,1968652,36,9147420,954806,1.8,38,0.82
4,Indonesia,Asia,Southeast Asia,270625568,72.5,2955025,149,1811570,-98955,2.3,30,0.56
5,Pakistan,Asia,Southern and Central Asia,216565318,67.4,4337032,281,770880,-233379,3.6,23,0.35
6,Brazil,South America,South America,211049527,73.5,1580204,25,8358140,21200,1.7,33,0.87
7,Nigeria,Africa,Western Africa,200963599,53,5088916,221,910770,-60000,5.4,18,0.51
8,Bangladesh,Asia,Southern and Central Asia,163046161,70.9,1669453,"1,253",130170,-369501,2.1,28,0.39
9,Russia,Europe,Eastern Europe,145872256,70.5,138218,9,16376870,182456,1.8,40,0.74
10,Mexico,North America,Central America,127575529,75.7,1384741,66,1943950,-60000,2.1,29,0.83
11,Japan,Asia,Eastern Asia,126860301,84.7,-341891,348,364555,71560,1.4,48,0.92
12,Ethiopia,Africa,Eastern Africa,112078730,61.5,2854316,112,1000000,30000,4.3,19,0.21
13,Philippines,Asia,Southeast Asia,108116615,69,1465221,363,298170,-67152,2.6,26,0.47
14,Egypt,Africa,Northern Africa,100388073,73.7,1964475,101,995450,-38033,3.3,25,0.43
15,Vietnam,Asia,Southeast Asia,96462106,73.2,916144,311,310070,-80000,2.1,32,0.37
16,DR Congo,Africa,Central Africa,86790567,56.9,2722476,38,2267050,23861,6,17,0.45
17,Germany,Europe,Western Europe,83517045,80.6,392627,240,348560,543822,1.6,46,0.76
18,Turkey,Asia,Middle East,83429615,74.6,1089527,108,769630,283922,2.1,32,0.75
19,Iran,Asia,Southern and Central Asia,82913906,71.2,1113718,51,1628550,-55000,2.2,32,0.75
20,Thailand,Asia,Southeast Asia,69625582,74.4,197129,136,510890,19444,1.5,40,0.5
21,United Kingdom,Europe,British Islands,67530172,80.5,388488,279,241930,260650,1.8,40,0.83
22,France,Europe,Western Europe,65129728,81.8,139217,119,547557,36527,1.9,42,0.81
23,Italy,Europe,Southern Europe,60550075,82.1,-77216,206,294140,148943,1.3,47,0.69
24,South Africa,Africa,Southern Africa,58558270,62.3,765752,48,1213090,145405,2.4,28,0.66
25,Tanzania,Africa,Eastern Africa,58005463,61.7,1692025,65,885800,-40076,4.9,18,0.36
26,Myanmar,Asia,Southeast Asia,54045420,66.3,337100,83,653290,-163313,2.2,29,0.31
27,Kenya,Africa,Eastern Africa,52573973,63.8,1181408,92,569140,-10000,3.5,20,0.27
28,South Korea,Asia,Eastern Asia,51225308,80,53602,527,97230,11731,1.1,44,0.82
29,Colombia,South America,South America,50339443,75.5,678395,45,1109500,204796,1.8,31,0.8
30,Spain,Europe,Southern Europe,46736776,81.6,43918,94,498800,40000,1.3,45,0.8
31,Argentina,South America,South America,44780677,77.7,419527,16,2736690,4800,2.3,32,0.93
32,Uganda,Africa,Eastern Africa,44269594,54.9,1540558,222,199810,168694,5,17,0.25
33,Ukraine,Europe,Eastern Europe,43993638,71.6,-252518,76,579320,10000,1.4,41,0.69
34,Algeria,Africa,Northern Africa,43053054,76.6,824646,18,2381740,-10000,3.1,29,0.73
35,Sudan,Africa,Northern Africa,42813238,63.7,1011705,24,1765048,-50000,4.4,20,0.35
36,Iraq,Asia,Middle East,39309783,74.9,876183,91,434320,7834,3.7,21,0.73
37,Afghanistan,Asia,Southern and Central Asia,38041754,50.9,869833,58,652860,-62920,4.6,18,0.25
38,Poland,Europe,Eastern Europe,37887768,77.4,-33824,124,306230,-29395,1.4,42,0.6
39,Canada,North America,North America,37411047,81.8,336485,4,9093510,242032,1.5,41,0.81
40,Morocco,Africa,Northern Africa,36471769,76.7,442676,82,446300,-51419,2.4,30,0.63
41,Saudi Arabia,Asia,Middle East,34268528,75.1,565772,16,2149690,134979,2.3,32,0.84
42,Uzbekistan,Asia,Southern and Central Asia,32981716,73.6,505472,78,425400,-8863,2.4,28,0.5
43,Peru,South America,South America,32510453,73.5,521193,25,1280000,99069,2.3,31,0.79
44,Malaysia,Asia,Southeast Asia,31949777,74.8,421744,97,328550,50000,2,30,0.78
45,Angola,Africa,Central Africa,31825295,55.6,1015508,26,1246700,6413,5.6,17,0.66
46,Ghana,Africa,Western Africa,30417856,66.2,650754,134,227540,-10000,3.9,22,0.56
47,Mozambique,Africa,Eastern Africa,30366036,52.9,870032,39,786380,-5000,4.9,18,0.38
48,Yemen,Asia,Middle East,29161922,65.2,663239,55,527970,-30000,3.8,20,0.38
49,Nepal,Asia,Southern and Central Asia,28608710,67.5,512996,200,143350,41710,1.9,25,0.21
50,Venezuela,South America,South America,28515829,74.5,-371289,32,882050,-653249,2.3,30,N.A.
51,Madagascar,Africa,Eastern Africa,26969307,65.6,706994,46,581795,-1500,4.1,20,0.38
52,Cameroon,Africa,Central Africa,25876380,57.9,660113,55,472710,-4800,4.6,19,0.56
53,Cote d-Ivoire,Africa,Western Africa,25716544,58.3,647314,81,318000,-8000,4.7,19,0.51
54,North Korea,Asia,Eastern Asia,25666161,70.1,116557,213,120410,-5403,1.9,35,0.62
55,Australia,Oceania,Australia and New Zealand,25203198,82.2,305046,3,7682300,158246,1.8,38,0.86
56,Taiwan,Asia,Eastern Asia,23773876,80,47416,671,35410,30001,1.2,42,0.79
57,Niger,Africa,Western Africa,23310715,55.1,867893,18,1266700,4000,7,15,0.16
58,Sri Lanka,Asia,Southern and Central Asia,21323733,76.6,94970,340,62710,-97986,2.2,34,0.18
59,Burkina Faso,Africa,Western Africa,20321378,55.1,569912,74,273600,-25000,5.2,18,0.3
60,Mali,Africa,Western Africa,19658031,55.3,580282,16,1220190,-40000,5.9,16,0.43
61,Romania,Europe,Eastern Europe,19364557,74.9,-141557,84,230170,-73999,1.6,43,0.54
62,Chile,South America,South America,18952038,78.6,222878,25,743532,111708,1.7,35,0.85
63,Malawi,Africa,Eastern Africa,18628747,60.7,485530,198,94280,-16053,4.3,18,0.18
64,Kazakhstan,Asia,Southern and Central Asia,18551427,70.6,231809,7,2699700,-18000,2.8,31,0.58
65,Zambia,Africa,Eastern Africa,17861030,52.2,509322,24,743390,-8000,4.7,18,0.45
66,Guatemala,North America,Central America,17581472,72,333623,164,107160,-9215,2.9,23,0.51
67,Ecuador,South America,South America,17373662,76.6,289304,70,248360,36400,2.4,28,0.63
68,Netherlands,Europe,Western Europe,17097130,81.2,37570,507,33720,16000,1.7,43,0.92
69,Syria,Asia,Middle East,17070135,74.7,125078,93,183630,-427391,2.8,26,0.59
70,Cambodia,Asia,Southeast Asia,16486542,64.1,236750,93,176520,-30000,2.5,26,0.24
71,Senegal,Africa,Western Africa,16296364,61.3,442041,85,192530,-20000,4.7,19,0.49
72,Chad,Africa,Central Africa,15946876,49.8,469147,13,1259200,2000,5.8,17,0.23
73,Somalia,Africa,Eastern Africa,15442905,52,434679,25,627340,-40000,6.1,17,0.46
74,Zimbabwe,Africa,Eastern Africa,14645468,57.1,206666,38,386850,-116858,3.6,19,0.38
75,Guinea,Africa,Western Africa,12771246,60.1,356953,52,245720,-4000,4.7,18,0.38
76,Rwanda,Africa,Eastern Africa,12626950,59.7,324980,512,24670,-9000,4.1,20,0.18
77,Benin,Africa,Western Africa,11801151,61.5,316107,105,112760,-2000,4.9,19,0.48
78,Tunisia,Africa,Northern Africa,11694719,75.9,129518,75,155360,-4000,2.2,33,0.7
79,Belgium,Europe,Western Europe,11539328,80.9,57150,381,30280,48000,1.7,42,0.98
80,Burundi,Africa,Eastern Africa,11530580,60.1,355206,449,25680,2001,5.5,17,0.13
81,Bolivia,South America,South America,11513100,68.9,159958,11,1083300,-9504,2.8,26,0.69
82,Cuba,North America,Caribbean,11333483,78.4,-4651,106,106440,-14400,1.6,42,0.78
83,Haiti,North America,Caribbean,11263077,63.5,139899,409,27560,-35000,3,24,0.56
84,South Sudan,Africa,Northern Africa,11062113,63.7,86186,18,610952,-174200,4.7,19,0.24
85,Dominican Republic,North America,Caribbean,10738958,78,111817,222,48320,-30000,2.4,28,0.84
86,Czech Republic,Europe,Eastern Europe,10689209,78.5,23532,138,77240,22011,1.6,43,0.74
87,Greece,Europe,Southern Europe,10473455,80.4,-48791,81,128900,-16000,1.3,46,0.84
88,Portugal,Europe,Southern Europe,10226187,79.2,-30006,112,91590,-6000,1.3,46,0.66
89,Jordan,Asia,Middle East,10101694,74.4,136376,114,88780,10220,2.8,24,0.91
90,Azerbaijan,Asia,Middle East,10047718,72.2,98181,122,82658,1200,2.1,32,0.56
91,Sweden,Europe,Nordic Countries,10036379,82,64741,24,410340,40000,1.9,41,0.88
92,United Arab Emirates,Asia,Middle East,9770529,77.3,139570,117,83600,40000,1.4,33,0.86
93,Honduras,North America,Central America,9746117,71,158595,87,111890,-6800,2.5,24,0.57
94,Hungary,Europe,Eastern Europe,9684679,75.7,-22820,107,90530,6000,1.5,43,0.71
95,Belarus,Europe,Eastern Europe,9452411,72.5,-206,47,202910,8730,1.7,40,0.79
96,Tajikistan,Asia,Southern and Central Asia,9321018,67.4,220183,67,139960,-20000,3.6,22,0.27
97,Austria,Europe,Western Europe,8955102,81.4,63714,109,82409,65000,1.5,43,0.57
98,Papua New Guinea,Oceania,Melanesia,8776109,67,169786,19,452860,-800,3.6,22,0.13
99,Serbia,Europe,Southern Europe,8772235,75.3,-30519,100,87460,4000,1.5,42,0.56
100,Switzerland,Europe,Western Europe,8591365,82.5,65754,217,39516,52000,1.5,43,0.74
101,Israel,Asia,Middle East,8519377,82.3,137861,394,21640,10000,3,30,0.93
102,Togo,Africa,Western Africa,8082366,64.5,193273,149,54390,-2000,4.4,19,0.43
103,Sierra Leone,Africa,Western Africa,7813215,57.8,163065,108,72180,-4200,4.3,19,0.43
104,Hong Kong,Asia,Eastern Asia,7436154,82.9,64424,"7,082",1050,29308,1.3,45,N.A.
105,Laos,Asia,Southeast Asia,7169455,63.9,107948,31,230800,-14704,2.7,24,0.35
106,Paraguay,South America,South America,7044636,77,88570,18,397300,-16556,2.4,26,0.61
107,Bulgaria,Europe,Eastern Europe,7000119,74.4,-51489,64,108560,-4800,1.6,45,0.75
